editor,action,Line Of Business  Component,Channel Component,Product Component,L0 Component,domain_sequence Qualifier,L1 Component,sub_domain_sequence Qualifier,Business Flow Component,business_flow_sequence Qualifier,sequence_uml Qualifier,Task Component,Task_sequence Qualifier,Application Component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,GRETA,2027,2027
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,ICORE,18276,18276
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,NC3,13200,13200
em114j,Add,AT&T Business,Service Delivery,ADI,Get,2,Design Management,4,Design Complete,6,,Manage Workflow,2,UTMS,27213,27213
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Order Management ,1,Design Complete,6,,Design,21,AERO,21607,21607
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Validate Service Availabilit,1,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Return Avaliability Validation Results,2,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Create Order,3,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Route Design Fallouts for Remediation,4,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Route Order Fallouts for Remediation,5,AERO,21607,21607
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Provisioning Management ,2,Design Complete,5,,Return Remediated Fallout Results,6,CANOPI,16994,16994
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EDF,23718,23718
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,AERO,21607,21607
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EXMGR,9325,9325
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EDGE,19062,19062
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,EFMS,13537,13537
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,GRID-AC,22510,22510
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,INSTAR,13672,13672
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,OCX,23326,23326
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,(FED) - OCX,24336,24336
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,(FED) - OMX,24233,24233
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,USRP,13703,13703
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,R3:SG,22448,22448
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,ACMS,25938,25938
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,,Order Dispatch,1,SOTS,13853,13853
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,FORCE-DCOE,19705,19705
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,GRETA,2027,2027
em114j,Add,AT&T Business,Business Field Services,ADI,Get,3,Provisioning Management,2,Dispatch,1,Dispatch Task Handler,Handle Dispatch Tasks,2,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Initiate Dispatch Request from Service Delivery Provisioning,1,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Route Dispatch Request for Workforce Handling,2,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Dispatch Work Order to Field Systems,3,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Provide Network & Service Context for Dispatch Execution,4,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Reference Network Inventory for Dispatch Alignment,5,TIRKS,595,595
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Trigger Provisioning Fallout Handling if Dispatch Fails,6,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Escalate provisioning fallout ,7,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Handle fallout through guided process flows ,8,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Log fallout resolution activity ,9,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ABF,Get,3,Provisioning Management ,2,Dispatch,8,,Close fallout actions and exceptions ,10,WFA/C,641,641
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Initiate Service Order Creation,1,ROME,14269,14269
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Issue Service Order,2,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Create ASR/PSR,3,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Generate Service Order Record (SOR),4,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Submit Service Order to TIRKS,5,CANOPI,16994,16994
em114j,Add,AT&T Business,Service Delivery,ASE,Get,3,Order Management ,1,Manage Service Order,4,,Submit Service Order to WFA,6,CANOPI,16994,16994
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Browse ATTCOM,1,ATTeBiz,23015,23015
