lineOfBusiness Component,editor Qualifier,channel Component,product Component,domain Component,domain_sequence Qualifier,subdomain Component,sub_domain_sequence Qualifier,business_flow Component,business_flow_sequence Qualifier,Task Component,task_sequence Qualifier,application Component,correlation_id Qualifier,FK_Data[Applications].Correlation_ID
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Check Port,16,GRANITE,9723,9723
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Select Job / View Comments,4,EDGE,19062,19062
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Arrive on Prem / Update Job,6,EDGE,19062,19062
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Mark Job Complete,24,EDGE,19062,19062
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Order w/Customer,7,LS-OMS,10038,10038
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Contact Customer / Verify ETA,5,SHM,26965,26965
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Register RG,22,SHM,26965,26965
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781
Mass Markets,tm0828,Online,Mobility,Shop & Purchase,1,Order Plan/Device,2,Purchase Product,1,Enter Billing Information,13,IDP-BUPS,33847,33847
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Jobs,3,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Select Job / View Comments,4,(FED) - FASTBPM,27267,27267
