editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run boomerangs,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run retro recal,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Review retro results,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Re-run pay calc,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run retro complete,8,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Create and complete off cycle checks,9,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Review and run pay calc,10,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Review on-cycle pay results,11,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run payroll calc,12,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run settlement,13,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run payroll complete,14,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Print checks and advices and schedule birt,15,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,6,Process Payroll,Workday ->>,Run pay calc to open next pay cycle,16,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Map pay component to GL accounts,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Post pay component data,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Record Journal Entry,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Record Payroll Accrual/Reversals,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Record Payroll Expense,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,7,Post Payroll to GL,Workday ->>,Record Payment of Payroll,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,8,Process Disbursement,Workday ->>,Send ACH direct deposit instructions,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,8,Process Disbursement,Workday ->>,Send positive pay file for check printing,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,8,Process Disbursement,Workday ->>,Send check print,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,8,Process Disbursement,Workday ->>,Reconcile workday settlement,4,Workday,29338,29338,,
