editor,action,lineOfBusiness,channel,product,domain_sequence,domain,sub_domain_sequence,subdomain,business_flow_sequence,business_flow,e2eux_sequence,sequence_uml,e2eux,correlation_id,application,api,Date Updated,SOX Control,Column1
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,22510,GRID-AC,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,13672,INSTAR,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,13200,NC3,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,19835,NISE-WFM,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,13758,OCS-SS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,3,Get,1,Order Management,5,Service Order ,4,,Service Order Submit,22011,OMX,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,1,,Convert Sales Order to Service Delivery  ,29333,BBW,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,2,,Capture Customer Direct Service Order,23015,ATTeBiz,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,3,,Capture Mobility Customer Direct Service Order,18257,OPUS - C,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,4,,Submit Sellers Direct Service Order,29333,BBW,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,5,,Assign Ordering and CPE Assignment/ DD Details,10056,LS CRM,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,6,,"Notify E911, Directory, & Caller ID Updates",10038,LS-OMS,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,7,,Provision Service Resources,16188,BBNMS-LS,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,8,,Update Service Inventory,9723,GRANITE,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,9,,Update Network Inventory,9723,GRANITE,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Create,10,,Update Network Inventory,9723,GRANITE,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,11,,Convert Sales Order to Service Delivery  ,29333,BBW,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,12,,Capture Customer Direct Service Order,23015,ATTeBiz,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,13,,Capture Mobility Customer Direct Service Order,18257,OPUS - C,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,14,,Submit Sellers Direct Service Order,29333,BBW,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,15,,Assign Ordering and CPE Assignment/ DD Details,10056,LS CRM,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,16,,"Notify E911, Directory, & Caller ID Updates",10038,LS-OMS,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,17,,Provision Service Resources,16188,BBNMS-LS,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,18,,Update Service Inventory,9723,GRANITE,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,19,,Update Network Inventory,9723,GRANITE,,,,
em114j,Add,AT&T Business,Service Delivery,ABF,3,Get,1,Order Management ,4,Service Order Submit,20,,Update Network Inventory,9723,GRANITE,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
