ID,editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
32,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,4,Validate Market & Service Area,20187,CSI - Order and Subscription Mngt,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=ASC2P01,10/23/2025,,
33,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,4,Validate Market & Service Area,20187,CSI - Order and Subscription Mngt,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=AW2P01,10/23/2025,,
34,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,4,Validate Market & Service Area,17690,CSI Parent/Triage,/Services/com/cingular/csi/gears/InquireMarketServiceAreas.jws,9/22/2025,,
35,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,5,Manage Subscriber Number,18193,TLG-MOB,,,,
36,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,5,Manage Subscriber Number,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
37,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,5,Manage Subscriber Number,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
38,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,5,Manage Subscriber Number,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
39,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=AE2P01,10/23/2025,,
40,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=ASC2P01,10/23/2025,,
41,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=AW2P01,10/23/2025,,
